Vgs1 (V) =	-8.878744E-6	Vgs2 (V) =	2.110000E+1	Vgs3 (V) =	1.000043E+1	Vgs4 (V) =	1.500048E+1	Vgs5 (V) =	1.999972E+1	Vgs6 (V) =	2.499975E+1	Vgs7 (V) =	3.000160E+1	Vgs8 (V) =	3.500644E+1	Vgs9 (V) =	4.001132E+1	
Igs1 (A) =	-2.037970E-9	Igs2 (A) =	-4.833737E-7	Igs3 (A) =	-9.679181E-8	Igs4 (A) =	1.776112E-10	Igs5 (A) =	4.647484E-10	Igs6 (A) =	4.083658E-10	Igs7 (A) =	-1.755971E-11	Igs8 (A) =	5.147313E-10	Igs9 (A) =	3.746271E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
2.50172200E+1	1.67019600E-5	2.50181400E+1	6.79062300E-7	2.50174400E+1	2.34391500E-6	2.50180600E+1	5.41865900E-6	2.50186300E+1	1.00859900E-5	2.50173500E+1	1.66716300E-5	2.50176100E+1	2.56049700E-5	2.50178700E+1	3.70745300E-5	2.50177900E+1	5.09770600E-5
2.55165100E+1	1.75297500E-5	2.55175700E+1	6.81128500E-7	2.55168300E+1	2.34652300E-6	2.55174600E+1	5.42734900E-6	2.55181200E+1	1.01092600E-5	2.55168100E+1	1.67276600E-5	2.55170400E+1	2.57234500E-5	2.55170800E+1	3.73031700E-5	2.55170000E+1	5.13580300E-5
2.60192300E+1	1.81110400E-5	2.60201000E+1	6.83548600E-7	2.60194400E+1	2.34942600E-6	2.60200300E+1	5.43584700E-6	2.60206700E+1	1.01322300E-5	2.60193600E+1	1.67866700E-5	2.60195900E+1	2.58395400E-5	2.60195800E+1	3.75198000E-5	2.60197900E+1	5.17421700E-5
2.65187600E+1	1.89716200E-5	2.65197800E+1	6.85561000E-7	2.65188400E+1	2.35257500E-6	2.65192600E+1	5.44249200E-6	2.65199900E+1	1.01518100E-5	2.65189000E+1	1.68324400E-5	2.65186500E+1	2.59565000E-5	2.65191100E+1	3.77288900E-5	2.65191900E+1	5.20987600E-5
2.70184900E+1	1.96574200E-5	2.70193500E+1	6.87716500E-7	2.70184700E+1	2.35414100E-6	2.70193500E+1	5.44806100E-6	2.70198800E+1	1.01737300E-5	2.70185600E+1	1.68771700E-5	2.70187600E+1	2.60539500E-5	2.70190700E+1	3.79298300E-5	2.70189300E+1	5.24444800E-5
2.75181400E+1	2.07470500E-5	2.75190400E+1	6.89717000E-7	2.75181700E+1	2.35630600E-6	2.75187200E+1	5.45282500E-6	2.75196400E+1	1.01947300E-5	2.75181400E+1	1.69264100E-5	2.75183300E+1	2.61469500E-5	2.75189100E+1	3.81412600E-5	2.75186300E+1	5.27938800E-5
2.80176400E+1	2.15561800E-5	2.80186700E+1	6.91777100E-7	2.80178000E+1	2.35839400E-6	2.80184500E+1	5.45879300E-6	2.80192500E+1	1.02181300E-5	2.80179700E+1	1.69632600E-5	2.80181200E+1	2.62348000E-5	2.80181200E+1	3.83288100E-5	2.80183300E+1	5.31158400E-5
2.85181300E+1	2.23822300E-5	2.85186500E+1	6.93581200E-7	2.85178400E+1	2.36013200E-6	2.85185800E+1	5.46463400E-6	2.85193000E+1	1.02352300E-5	2.85179500E+1	1.70064800E-5	2.85180400E+1	2.63197900E-5	2.85181100E+1	3.85061200E-5	2.85183100E+1	5.34081200E-5
2.90206200E+1	2.33569000E-5	2.90218100E+1	6.95887500E-7	2.90208200E+1	2.36251700E-6	2.90214300E+1	5.46947600E-6	2.90220600E+1	1.02504000E-5	2.90208300E+1	1.70420200E-5	2.90208200E+1	2.64017000E-5	2.90212300E+1	3.86749200E-5	2.90212100E+1	5.37070400E-5
2.95205700E+1	2.42545400E-5	2.95215300E+1	6.97605200E-7	2.95205100E+1	2.36414600E-6	2.95212000E+1	5.47475600E-6	2.95220400E+1	1.02651000E-5	2.95206100E+1	1.70766200E-5	2.95207200E+1	2.64752000E-5	2.95208600E+1	3.88340000E-5	2.95208300E+1	5.39784600E-5
3.00199900E+1	2.51121800E-5	3.00208300E+1	6.99258600E-7	3.00199300E+1	2.36538600E-6	3.00205900E+1	5.47959100E-6	3.00215300E+1	1.02754300E-5	3.00200100E+1	1.71173700E-5	3.00201600E+1	2.65452700E-5	3.00203300E+1	3.89900100E-5	3.00201500E+1	5.42258900E-5
3.05197400E+1	2.62188800E-5	3.05206600E+1	7.01796200E-7	3.05198100E+1	2.36768300E-6	3.05203000E+1	5.48471200E-6	3.05213200E+1	1.02878900E-5	3.05196700E+1	1.71580700E-5	3.05198200E+1	2.66179600E-5	3.05202400E+1	3.91274800E-5	3.05200700E+1	5.44723700E-5
3.10196600E+1	2.73677200E-5	3.10204400E+1	7.03934200E-7	3.10198200E+1	2.36972500E-6	3.10202000E+1	5.49014900E-6	3.10211200E+1	1.03045300E-5	3.10196200E+1	1.71993700E-5	3.10199400E+1	2.66835100E-5	3.10199900E+1	3.92663600E-5	3.10201500E+1	5.47175200E-5
3.15193400E+1	2.85572000E-5	3.15200800E+1	7.05770200E-7	3.15193100E+1	2.37100700E-6	3.15200700E+1	5.49690500E-6	3.15207200E+1	1.03107100E-5	3.15192200E+1	1.72323800E-5	3.15192800E+1	2.67510300E-5	3.15196900E+1	3.93898600E-5	3.15196900E+1	5.49461300E-5
3.20222700E+1	2.98369600E-5	3.20232600E+1	7.07757600E-7	3.20223700E+1	2.37287400E-6	3.20228600E+1	5.50213700E-6	3.20238300E+1	1.03210600E-5	3.20221600E+1	1.72651500E-5	3.20224900E+1	2.68073700E-5	3.20228100E+1	3.95067300E-5	3.20227000E+1	5.51835500E-5
3.25220800E+1	3.10532800E-5	3.25227100E+1	7.09601300E-7	3.25218700E+1	2.37486000E-6	3.25225100E+1	5.50536900E-6	3.25236100E+1	1.03388300E-5	3.25219000E+1	1.72926500E-5	3.25222500E+1	2.68673800E-5	3.25223100E+1	3.96148500E-5	3.25224500E+1	5.53939900E-5
3.30217600E+1	3.22914100E-5	3.30226500E+1	7.11570000E-7	3.30216200E+1	2.37752300E-6	3.30221600E+1	5.50930500E-6	3.30229500E+1	1.03419400E-5	3.30215200E+1	1.73197200E-5	3.30214900E+1	2.69175800E-5	3.30219600E+1	3.97218500E-5	3.30222700E+1	5.55918900E-5
3.35203200E+1	3.37418800E-5	3.35212600E+1	7.13354700E-7	3.35208500E+1	2.37833700E-6	3.35215000E+1	5.51275900E-6	3.35219800E+1	1.03480500E-5	3.35204700E+1	1.73384900E-5	3.35206500E+1	2.69712000E-5	3.35209700E+1	3.98165000E-5	3.35210400E+1	5.57957800E-5
3.40203000E+1	3.51442300E-5	3.40214600E+1	7.15182700E-7	3.40204800E+1	2.37987600E-6	3.40212500E+1	5.51420400E-6	3.40226500E+1	1.03669500E-5	3.40204800E+1	1.73576800E-5	3.40206500E+1	2.70113300E-5	3.40211600E+1	3.99193800E-5	3.40208900E+1	5.59934200E-5
3.45204200E+1	3.66105700E-5	3.45210100E+1	7.16821900E-7	3.45203000E+1	2.38163000E-6	3.45208200E+1	5.51637000E-6	3.45217700E+1	1.03650300E-5	3.45204400E+1	1.73707000E-5	3.45203700E+1	2.70626400E-5	3.45205700E+1	4.00046500E-5	3.45206900E+1	5.61672300E-5
