Vgs1 (V) =	-2.064548E-5	Vgs2 (V) =	4.999889E+0	Vgs3 (V) =	1.000030E+1	Vgs4 (V) =	1.500037E+1	Vgs5 (V) =	1.999959E+1	Vgs6 (V) =	2.499847E+1	Vgs7 (V) =	3.000044E+1	Vgs8 (V) =	3.500514E+1	Vgs9 (V) =	4.000999E+1	
Igs1 (A) =	-1.947870E-9	Igs2 (A) =	1.285369E-10	Igs3 (A) =	4.341896E-10	Igs4 (A) =	4.981444E-10	Igs5 (A) =	6.987573E-10	Igs6 (A) =	5.241204E-10	Igs7 (A) =	-1.146203E-10	Igs8 (A) =	5.747463E-10	Igs9 (A) =	4.977657E-10	
Vds1 (V)	Ids1 (A)	Vds2 (V)	Ids2 (A)	Vds3 (V)	Ids3 (A)	Vds4 (V)	Ids4 (A)	Vds5 (V)	Ids5 (A)	Vds6 (V)	Ids6 (A)	Vds7 (V)	Ids7 (A)	Vds8 (V)	Ids8 (A)	Vds9 (V)	Ids9 (A)	
2.30182600E+1	6.19150600E-7	2.30177500E+1	3.62829100E-6	2.30186500E+1	9.02348800E-6	2.30174400E+1	1.58825900E-5	2.30176400E+1	2.99822200E-5	2.30179500E+1	4.66037700E-5	2.30183600E+1	6.74827600E-5	2.30185800E+1	9.30634100E-5	2.30174200E+1	1.23397900E-4
2.35212200E+1	6.21581300E-7	2.35202000E+1	3.64043900E-6	2.35209600E+1	9.04761100E-6	2.35199400E+1	1.61476800E-5	2.35202100E+1	3.01845800E-5	2.35206100E+1	4.70186100E-5	2.35210100E+1	6.81760200E-5	2.35214800E+1	9.41704900E-5	2.35195800E+1	1.25037400E-4
2.40199800E+1	6.23986400E-7	2.40195900E+1	3.65146200E-6	2.40204800E+1	9.06993400E-6	2.40192300E+1	1.63908200E-5	2.40193500E+1	3.03574500E-5	2.40196200E+1	4.73804300E-5	2.40201800E+1	6.88258700E-5	2.40205800E+1	9.52286800E-5	2.40191100E+1	1.26577500E-4
2.45194400E+1	6.26348000E-7	2.45188100E+1	3.66152800E-6	2.45196400E+1	9.10012300E-6	2.45184300E+1	1.66295300E-5	2.45187400E+1	3.05195900E-5	2.45188700E+1	4.77290600E-5	2.45193600E+1	6.94686500E-5	2.45195700E+1	9.63001700E-5	2.45180700E+1	1.28098700E-4
2.50183700E+1	6.28582100E-7	2.50179400E+1	3.67137500E-6	2.50188000E+1	9.12686800E-6	2.50175600E+1	1.68412500E-5	2.50178600E+1	3.06829000E-5	2.50179500E+1	4.80568500E-5	2.50188000E+1	7.00577600E-5	2.50190500E+1	9.73035300E-5	2.50172600E+1	1.29586800E-4
2.55178100E+1	6.30936300E-7	2.55170300E+1	3.68295200E-6	2.55182300E+1	9.14850400E-6	2.55169500E+1	1.69626200E-5	2.55172500E+1	3.08455100E-5	2.55172900E+1	4.83652200E-5	2.55179600E+1	7.06514300E-5	2.55182100E+1	9.82872800E-5	2.55166900E+1	1.31072200E-4
2.60204200E+1	6.33229400E-7	2.60200100E+1	3.69515000E-6	2.60207200E+1	9.16617000E-6	2.60196500E+1	1.71028800E-5	2.60197600E+1	3.10166800E-5	2.60200000E+1	4.86652000E-5	2.60203200E+1	7.12235200E-5	2.60211100E+1	9.92545200E-5	2.60194500E+1	1.32539800E-4
2.65199600E+1	6.35669500E-7	2.65191500E+1	3.70678300E-6	2.65200300E+1	9.18479200E-6	2.65186900E+1	1.72713200E-5	2.65192900E+1	3.11604700E-5	2.65194100E+1	4.89231600E-5	2.65197900E+1	7.17714900E-5	2.65201500E+1	1.00166600E-4	2.65186700E+1	1.33980800E-4
2.70196700E+1	6.38171300E-7	2.70190300E+1	3.71870900E-6	2.70199900E+1	9.20162400E-6	2.70187800E+1	1.73934100E-5	2.70190400E+1	3.12947400E-5	2.70191200E+1	4.91879600E-5	2.70196400E+1	7.22883100E-5	2.70201100E+1	1.01063300E-4	2.70184400E+1	1.35364300E-4
2.75192100E+1	6.40348800E-7	2.75186700E+1	3.72931500E-6	2.75197000E+1	9.21665500E-6	2.75183400E+1	1.72285100E-5	2.75187400E+1	3.14288100E-5	2.75189500E+1	4.94298100E-5	2.75193800E+1	7.28589800E-5	2.75196600E+1	1.01958200E-4	2.75180700E+1	1.36684400E-4
